# Word;AdvicedAlternative
# can be used for suggesting a more common word
# TODO: remove doubles
# TODO: remove incorrect spellings after certification of words list
#
alkalinen;alkalines
allergietests;allergietesten
alliantiewapenen;alliantiewapens
alligatoren;alligators
allocatiemethodes;allocatiemethoden
alluren;allures
almanaks;almanakken
alpenweides;alpenweiden
altaardienaars;altaardienaren
altaars;altaren
amandels;amandelen
amazonen;amazones
ambachtsgildes;ambachtsgilden
ambachtsmannen;ambachtslieden
ambachtsmannen;ambachtslui
ambassadeuren;ambassadeurs
ambtenaars;ambtenaren
ambtsman;ambtman
ambulancemotors;ambulancemotoren
ambulancen;ambulances
amfibieëntunnel;amfibietunnel
aminozurengehalte;aminozuurgehalte
aminozurenpreparaat;aminozuurpreparaat
aminozurenprofiel;aminozuurprofiel
ammoniums;ammonia
amnesties;amnestieën
amortisering;amortisatie
amplituden;amplitudes
analysen;analyses
analyseprotocols;analyseprotocollen
andoren;andoorn
androïdes;androïden
anekdoten;anekdotes
aneurysma's;aneurysma
angstgedachtes;angstgedachten
angstneurosen;angstneuroses
angstregulering;angstregulatie
animatieruimten;animatieruimtes
ankerliers;ankerlieren
ankertypes;ankertypen
annexering;annexatie
annotators;annotatoren
annotering;annotatie
anoden;anodes
anodisering;anodisatie
antennehoogten;antennehoogtes
antennen;antennes
anthuria;anthuriums
anticipering;anticipatie
anticiperingen;anticipaties
antilopes;antilopen
antinomiën;antinomieën
antioorlogsbeweging;anti-oorlogsbeweging
antipathiën;antipathieën
antiquaars;antiquaren
antiserums;antisera
antislipwaardes;antislipwaarden
antistoftests;antistoftesten
antistrofes;antistrofen
antitheses;antithesen
antwoordenbesluit;antwoordbesluit
antwoordenformulier;antwoordformulier
antwoordenkaart;antwoordkaart
antwoordenmodel;antwoordmodel
antwoordenpatroon;antwoordpatroon
antwoordenrubriek;antwoordrubriek
antwoordensessie;antwoordsessie
antwoordkeuzen;antwoordkeuzes
apostels;apostelen
apostillen;apostilles
apothekenketen;apotheekketen
apparatenbeheer;apparaatbeheer
appartementseigenaars;appartementseigenaren
appelbeignetten;appelbeignets
appelflauwten;appelflauwtes
appellants;appellanten
appelsienenschil;appelsienschil
appendixen;appendices
applicatiemethodes;applicatiemethoden
arbeidsgelegenheden;arbeidsaangelegenheden
arbeidslag;arbeidsslag
arbeidslagen;arbeidsslagen
arbeidslasten;arbeiden
arbeidsmarktexperten;arbeidsmarktexperts
arbeidspolen;arbeidspools
arbeidstijdsverkorting;arbeidstijdverkorting
arbocatalogussen;arbocatalogi
arboretums;arboreta
arcadespelen;arcadespellen
archaïsmes;archaïsmen
archiefdatums;archiefdata
archievenbestand;archiefbestand
archievencollectie;archiefcollectie
archievendepot;archiefdepot
archievenkamer;archiefkamer
archievensector;archiefsector
architectuurkeuzen;architectuurkeuzes
architectuurmethodes;architectuurmethoden
ares;aren
argumentering;argumentatie
argumenteringen;argumentaties
armbands;armbanden
armensteun;armsteun
armenwezen;armwezen
armenzwaai;armzwaai
arrensledes;arrensleden
arteries;arteriën
articulering;articulatie
artikelenaanbod;artikelaanbod
artikelenassortiment;artikelassortiment
artikelenbeheer;artikelbeheer
artikelenbestand;artikelbestand
artikelenbrief;artikelbrief
artikelengroep;artikelgroep
artikelenkeuze;artikelkeuze
artikelenlijst;artikellijst
artikelenpagina;artikelpagina
artikelenscherm;artikelscherm
artikelenstructuur;artikelstructuur
